event,initial_day,end_day,length,type,total_mean,oceanic_mean,total_area,oceanic_area
189,14/11/2014,18/11/2014,5,SACZ,198.34,197.65,87.39,36.91
190,09/12/2014,13/12/2014,5,SACZ,200.10,204.45,94.65,23.14
191,06/02/2015,09/02/2015,4,SACZ,191.51,199.98,98.52,26.86
192,13/02/2015,17/02/2015,5,SACZ,196.55,198.60,100.04,24.18
193,16/03/2015,20/03/2015,5,SACZ,195.32,206.02,95.98,17.87
194,08/10/2015,11/10/2015,4,SACZOCN,197.83,192.55,99.73,44.23
195,08/12/2015,11/12/2015,4,SACZ,204.54,207.38,61.77,20.69
196,14/01/2016,23/01/2016,10,SACZ,195.69,198.50,92.73,28.39
197,28/02/2016,03/03/2016,5,SACZ,196.47,200.57,90.34,26.38
198,29/12/2016,01/01/2017,4,SACZ,200.18,206.04,94.17,14.22
199,17/01/2017,21/01/2017,5,SACZ,194.15,201.85,89.20,19.80
200,25/01/2017,29/01/2017,5,SACZ,197.81,204.68,91.09,21.22
201,05/02/2017,08/02/2017,4,SACZ,201.04,213.87,84.61,11.34
202,10/11/2017,14/11/2017,5,SACZOCN,192.71,195.56,94.62,33.54
203,24/12/2017,30/12/2017,7,SACZ,198.43,204.55,94.52,19.34
204,16/01/2018,20/01/2018,5,SACZ,203.40,210.22,83.76,15.05
205,29/01/2018,06/02/2018,9,SACZOCN,191.14,192.42,107.50,33.52
206,21/02/2018,25/02/2018,5,SACZ,191.86,204.67,85.43,14.52
207,06/03/2018,13/03/2018,8,SACZ,193.46,204.70,87.86,16.30
208,18/11/2018,21/11/2018,4,SACZ,196.14,197.21,87.69,29.13
209,29/11/2018,03/12/2018,5,SACZOCN,191.55,194.07,114.03,41.09
210,06/12/2018,10/12/2018,5,SACZ,200.29,207.41,67.91,10.72
211,26/02/2019,03/03/2019,6,SACZ,199.40,201.74,104.00,31.58
212,20/03/2019,25/03/2019,6,SACZOCN,194.69,192.14,89.90,17.91
213,14/11/2019,20/11/2019,7,SACZ,195.85,198.54,82.31,25.55
214,05/12/2019,10/12/2019,6,SACZ,197.38,200.36,84.86,21.62
215,15/12/2019,18/12/2019,4,SACZ,195.79,198.31,84.25,22.57
216,01/01/2020,06/01/2020,6,SACZ,196.84,202.58,103.92,32.15
217,20/01/2020,25/01/2020,6,SACZOCN,194.09,193.96,113.98,39.18
218,22/02/2020,27/02/2020,6,SACZ,194.70,203.69,91.92,22.57
219,29/02/2020,06/03/2020,7,SACZ,201.07,201.39,82.07,24.41
220,30/10/2020,06/11/2020,8,SACZ,197.57,200.03,76.68,31.23
221,04/12/2020,07/12/2020,4,SACZ,199.18,206.00,88.94,17.79
222,09/12/2020,12/12/2020,4,SACZ,199.73,206.17,78.38,22.17
223,26/12/2020,30/12/2020,5,SACZ,195.63,202.78,94.72,23.06
