event,initial_day,end_day,length,type,total_area,total_mean,total_var,oceanic_area,oceanic_mean,oceanic_var
108,28/12/2012,31/12/2012,4,SACZ,90.99,202.50,267.01,20.90,202.73,321.03
109,06/01/2013,19/01/2013,14,SACZ,91.91,196.66,470.66,25.51,197.05,456.15
110,26/01/2013,29/01/2013,4,SACZ,79.07,192.71,580.37,17.30,212.07,199.19
111,04/02/2013,13/02/2013,10,SACZ,93.09,192.85,511.59,20.73,203.22,363.49
112,26/02/2013,01/03/2013,4,SACZ,81.10,202.60,277.84,17.61,202.85,252.16
113,15/03/2013,19/03/2013,5,SACZ,99.58,193.84,506.48,22.00,212.91,160.30
114,25/03/2013,28/03/2013,4,SACZ,94.38,198.91,438.64,39.75,201.42,321.94
115,04/11/2013,07/11/2013,4,SACZ,80.95,200.24,372.90,26.62,206.90,191.43
116,10/12/2013,26/12/2013,17,SACZOCN,93.99,194.00,460.44,28.83,196.57,425.21
117,12/01/2014,20/01/2014,9,SACZ,89.69,199.91,364.37,19.24,202.83,357.98
118,05/03/2014,09/03/2014,5,SACZ,93.70,193.92,457.80,24.30,197.94,362.95
119,20/03/2014,24/03/2014,5,SACZ,88.26,195.08,483.47,22.60,198.29,394.11
120,08/11/2014,11/11/2014,4,SACZ,85.70,194.81,516.35,30.64,197.70,396.95
121,14/11/2014,18/11/2014,5,SACZ,87.39,198.34,394.72,36.91,197.65,336.93
122,09/12/2014,13/12/2014,5,SACZ,94.65,200.10,402.49,23.14,204.45,308.64
123,06/02/2015,09/02/2015,4,SACZ,98.28,191.34,511.12,26.83,200.53,372.49
124,13/02/2015,17/02/2015,5,SACZ,98.40,196.81,357.33,23.74,198.67,394.92
125,16/03/2015,20/03/2015,5,SACZ,95.98,195.31,397.57,17.86,206.01,280.62
126,08/12/2015,11/12/2015,4,SACZ,59.68,205.23,278.69,20.72,208.01,224.05
127,14/01/2016,23/01/2016,10,SACZ,92.73,195.69,455.32,28.39,198.50,374.17
128,28/02/2016,03/03/2016,5,SACZ,90.34,196.47,535.89,26.38,200.57,381.90
